,pIC50
1036,1.3045183235098026
1037,2.7931741239681505
1038,4.698970004336019
1039,4.698970004336019
1040,4.698970004336019
1041,4.698970004336019
1042,4.698970004336019
1043,4.698970004336019
1044,4.698970004336019
1045,5.0
1046,5.0
1047,9.229147988357855
1048,8.522878745280337
1049,8.387216143280265
1050,7.013228265733755
1051,8.157390760389438
1052,7.453457336521869
1053,7.4156687756324695
1054,7.521433504406157
1055,7.485452247339714
1056,9.596879478824182
1057,5.962573502059376
1058,7.667561540084395
1059,3.0
1060,9.301029995663981
1061,9.468521082957745
1062,9.481486060122112
1063,9.494850021680094
1064,9.346787486224656
1065,9.481486060122112
1066,9.397940008672037
1067,9.537602002101044
1068,9.10790539730952
1069,4.707743928643524
1070,3.7594507517174005
1071,4.0
1072,4.017728766960431
1073,3.8632794328435933
1074,3.962573502059376
1075,4.337242168318426
1076,3.9788107009300617
1077,5.97061622231479
1078,6.995678626217358
1079,7.853871964321762
1080,9.301029995663981
1082,9.346787486224656
1083,10.397940008672037
1084,9.187086643357144
1085,11.096910013008056
1086,9.060480747381382
1087,10.0
1088,7.0
1089,5.413412695328245
1090,6.847711655616943
1091,7.886056647693163
1092,7.086186147616283
1093,7.251811972993799
1094,7.568636235841013
1095,5.258848401148215
1096,7.026872146400302
1097,5.004803708402821
1098,5.464705879957229
1099,7.013228265733755
1100,7.42021640338319
1101,5.616184634019569
1102,6.214670164989233
1103,5.173925197299173
1104,7.443697499232712
1105,7.698970004336019
1106,6.313363730737707
1107,3.4685210829577446
1108,7.7447274948966935
1109,5.259637310505756
1110,4.613857891069181
1111,4.9694002780340485
1112,5.158640529545145
1114,5.522878745280337
1115,5.522878745280337
1116,5.301029995663981
1117,5.522878745280337
1118,5.522878745280337
1119,5.522878745280337
1122,5.522878745280337
1123,5.522878745280337
1125,5.522878745280337
1126,5.522878745280337
1127,5.522878745280337
1128,5.522878745280337
1129,5.522878745280337
1130,5.522878745280337
1131,5.522878745280337
1132,5.522878745280337
1133,5.522878745280337
1134,5.522878745280337
1135,5.522878745280337
1136,5.522878745280337
1137,5.522878745280337
1138,5.522878745280337
1139,5.522878745280337
1140,5.522878745280337
1141,5.522878745280337
1142,5.522878745280337
1143,5.522878745280337
1144,5.522878745280337
1146,5.522878745280337
1148,5.522878745280337
1149,5.522878745280337
1152,5.522878745280337
1153,5.522878745280337
1154,5.522878745280337
1155,5.522878745280337
1156,5.522878745280337
1157,5.522878745280337
1158,5.522878745280337
1159,5.522878745280337
1160,7.375717904164332
1161,7.133122185662502
1162,5.994433428866706
1163,5.872344580224793
1164,5.969481235156458
1165,5.494348158769009
1166,7.6777807052660805
1167,6.898596649444669
1168,6.546375926408549
1169,7.008773924307505
